iter	Passed	Remaining
0	5	5392
1	6	3048
2	6	2243
3	7	1835
4	7	1586
5	8	1414
6	9	1299
7	9	1205
8	10	1124
9	10	1076
10	11	1023
11	12	990
12	12	954
13	13	920
14	13	892
15	14	869
16	14	842
17	15	841
18	16	868
19	17	880
20	18	863
21	19	848
22	19	831
23	20	816
24	20	804
25	21	791
26	21	779
27	22	773
28	22	766
29	23	760
30	24	753
31	24	744
32	25	738
33	25	729
34	26	723
35	26	713
36	27	707
37	27	700
38	28	695
39	29	696
40	29	699
41	30	696
42	31	692
43	31	691
44	32	688
45	32	684
46	33	680
47	34	677
48	34	673
49	35	669
50	35	668
51	36	666
52	37	664
53	37	660
54	38	658
55	38	655
56	39	653
57	40	650
58	40	647
59	41	643
60	41	641
61	42	640
62	43	640
63	43	638
64	44	636
65	44	632
66	45	631
67	46	634
68	47	634
69	47	632
70	48	632
71	48	631
72	49	629
73	50	627
74	50	625
75	51	622
76	51	620
77	52	618
78	52	615
79	53	613
80	53	611
81	54	610
82	55	610
83	55	609
84	56	607
85	57	606
86	57	603
87	58	603
88	58	601
89	59	600
90	60	600
91	61	604
92	62	607
93	62	606
94	63	603
95	63	601
96	64	599
97	64	597
98	65	595
99	65	593
100	66	590
101	66	588
102	67	587
103	68	586
104	68	586
105	69	584
106	69	583
107	70	581
108	70	580
109	71	579
110	71	576
111	72	575
112	73	573
113	73	572
114	74	571
115	75	572
116	75	570
117	76	569
118	76	567
119	77	566
120	77	565
121	78	564
122	78	563
123	79	561
124	80	560
125	80	558
126	81	557
127	81	556
128	82	555
129	82	554
130	83	553
131	83	551
132	84	550
133	85	549
134	85	547
135	86	547
136	86	547
137	87	546
138	88	546
139	88	546
140	89	544
141	90	545
142	91	545
143	91	544
144	92	543
145	92	542
146	93	541
147	93	540
148	94	539
149	94	537
150	95	536
151	95	535
152	96	534
153	97	533
154	97	532
155	98	531
156	98	529
157	99	529
158	99	528
159	100	526
160	100	525
161	101	524
162	102	523
163	102	523
164	103	522
165	103	521
166	104	520
167	104	519
168	105	518
169	105	517
170	106	516
171	107	515
172	107	514
173	108	513
174	108	512
175	109	510
176	109	509
177	110	508
178	110	507
179	111	507
180	111	506
181	112	505
182	112	504
183	113	503
184	114	502
185	114	501
186	115	500
187	115	499
188	116	498
189	116	497
190	117	496
191	117	495
192	118	494
193	118	493
194	119	492
195	119	491
196	120	490
197	120	490
198	121	489
199	121	487
200	122	487
201	122	485
202	123	484
203	124	484
204	124	484
205	125	483
206	125	482
207	126	481
208	127	480
